"","GEOID","Type.Area.NonCoBRA","Type.Area.OPA","Type.Area.SU","STATEFP","NAME","Type.Str.NonCoBRA","Type.Str.OPA","Type.Str.SU","Prop_CBRA_OPA","name","Dens_CBRA","Type.Str.CBRA","log.Type.Str.NonCoBRA","log.Type.Str.CBRA","groups"
"Baldwin, 01","01003",18911.0088739243,2881.13731759933,1778.68982957457,"01","Baldwin",1.08539952240742,0.0603928174256489,0.186092029367014,0.618292744902928,"Baldwin, 01",0.108373118583653,0.186092029367014,0.940489797681146,0.185034361430437,1
"Mobile, 01","01097",17506.4182786745,169.805975792395,637.278274512754,"01","Mobile",0.636966386984117,0.0588907425273773,0.00784586608389069,0.210394361837929,"Mobile, 01",0.018585420288314,0.0588907425273773,0.600263848037769,0.0588567555200257,1
"Bay, 12","12005",11958.7143827806,437.956113435207,2030.63016424082,"12","Bay",1.6914025498531,0.40186675011682,0.0137888230427564,0.177411710255275,"Bay, 12",0.0826383917972878,0.40186675011682,1.2964531405316,0.391767995386782,2
"Brevard, 12","12009",15685.8210470789,11319.3395862821,125.53812962409,"12","Brevard",1.71129072041778,0.00371046381989458,0.772673611519113,0.989031064137136,"Brevard, 12",0.0121451712679129,0.772673611519113,1.30653096432054,0.7111874531421,2
"Broward, 12","12011",8773.74719574663,161.173976941649,32.8395239270043,"12","Broward",4.15922629018656,0.384677484395922,0.274060002209691,0.830735882915506,"Broward, 12",0.36595391393956,0.384677484395922,2.13262423807585,0.375771422894575,3
"Charlotte, 12","12015",2198.46215706116,93.5262470829432,343.131850759632,"12","Charlotte",2.28978242078513,0.0106921856825192,0.469207389647959,0.214186448264751,"Charlotte, 12",0.370999646635214,0.469207389647959,1.5661969000714,0.4535019183485,2
"Collier, 12","12021",11565.8013924181,1671.91346069011,6410.45580994032,"12","Collier",2.1676837729926,0.0125604587161658,0.00764376223045147,0.206859326109421,"Collier, 12",0.0086608267521709,0.0125604587161658,1.51620595045933,0.012560128472558,3
"Dixie, 12","12029",12160.7603210515,0,52.499444363174,"12","Dixie",0.0324815216788885,0,0,0,"Dixie, 12",0,0,0.032475812788045,0,1
"Duval, 12","12031",5048.47061774611,807.020460428093,1939.86714110486,"12","Duval",3.35507548374362,0.0408911565668295,0.00979448519818657,0.293794496716109,"Duval, 12",0.0189305161124833,0.0408911565668295,1.92512541102952,0.0408797695397197,3
"Escambia, 12","12033",2495.54646575264,1718.87911554067,251.241657330904,"12","Escambia",1.70623951845185,0.0418877624080927,0.0199011583234966,0.872473981904823,"Escambia, 12",0.039083898337749,0.0418877624080927,1.30397968158134,0.0418755227988247,3
"Flagler, 12","12035",6838.18482025059,567.780851350606,59.1920996823545,"12","Flagler",1.37507251517303,0.0563597731834037,0,0.90559066450182,"Flagler, 12",0.0510388844483305,0.0563597731834037,1.12340732688662,0.0563299786621271,3
